country_or_province_travelled,longitude,latitude
Italy,43.725024,11.2811671
Germany,51.0899106,5.9680313
France,48.8588377,2.2770202
Iran,30.3803868,53.529223
Austria,47.6746139,11.1029246
Portugal,39.3999,-8.2245
Switzerland,46.8077141,7.1031419
Turkey,39.0014579,30.6870245
UK,54.9064775,-1.8394631
Netherlands,52.1917335,3.0368486
Brazil,-13.7021113,-69.6954807
USA,38.4638898,-93.6771245
Dubai,25.2048635,55.2007198
Spain,40.4378698,-3.8196211
Canada,50.8272431,-130.1232779
Mexico,23.2935312,-111.6488566
Greece,39.0742,21.8243
India,20.5937,78.9629
KZN,-28.5306,30.8958
GP,-26.2708,28.1123
WC,-33.2278,21.8569
MP,-25.5653,30.5279
LIM,-23.4013,29.4179
